atp1 atp2 c12                    c12_45                 old_rc12               source
NL   NR   2.9137432184408464e-07 3.2228956345557457e-07 1.1482411765953813e-06 #atdhisto_c12
NL   NZ   1.8933619871479337e-06 0.0                    8.75284823952248e-07   #atdhisto_c12
NL   NE   1.0161170406288952e-06 3.149574184402289e-06  8.75284823952248e-07   #atdhisto_c12
NL   C    2.448580108078591e-06  1.9908604884064596e-05 1.508127506152659e-06  #atdhisto_c12
NL   CR   2.448580108078591e-06  1.7356754565546296e-06 1.508127506152659e-06  #atdhisto_c12
NL   CS   9.271725969950735e-07  4.78449438233876e-07   1.508127506152659e-06  #atdhisto_c12
NL   CZ   2.248809725327641e-06  0.0                    1.508127506152659e-06  #atdhisto_c12
NL   CH   1.7356754565546296e-06 6.381454827742098e-07  1.508127506152659e-06  #atdhisto_c12
NL   CH1  1.4922176228398963e-05 7.175626843968198e-05  7.574982932969631e-06  #atdhisto_c12
NL   CH1t 4.030347871778446e-06  5.539580762888729e-05  7.574982932969631e-06  #atdhisto_c12
NL   CAH  8.855373008130008e-06  2.2936907742668513e-05 7.574982932969631e-06  #atdhisto_c12
NL   CH2  3.421320847663108e-06  8.855373008130008e-06  3.6760332838792072e-06 #atdhisto_c12
NL   CAH2 4.030347871778446e-06  1.1964957655417957e-05 3.6760332838792072e-06 #atdhisto_c12
NL   CH3  2.897745766558051e-06  1.2178965067259558e-06 2.742900219889418e-06  #atdhisto_c12
NL   CH2r 3.7144078137182355e-06 2.631995597129722e-07  3.2327146659727425e-06 #atdhisto_c12
NL   S    1.544133911550011e-06  0.0                    1.544133911550011e-06  #rc12
NL   SM   1.1128214538294811e-06 7.703205086354507e-07  1.544133911550011e-06  #atdhisto_c12
NL   SH   1.0115434594394737e-07 0.0                    1.544133911550011e-06  #atdhisto_c12
NL   H    1.003911895429072e-08  4.365694982352848e-09  2.8298068718749842e-08 #atdhisto_c12
NR   NR   2.9137432184408464e-07 0.0                    1.5063185874465423e-06 #atdhisto_c12
NR   NZ   4.78449438233876e-07   0.0                    1.1482411765953813e-06 #atdhisto_c12
NR   NE   1.0161170406288952e-06 0.0                    1.1482411765953813e-06 #atdhisto_c12
NR   C    3.149574184402289e-06  8.454178454694858e-07  1.9784349673759017e-06 #atdhisto_c12
NR   CR   2.064082678151929e-06  0.0                    1.9784349673759017e-06 #atdhisto_c12
NR   CS   1.1128214538294811e-06 0.0                    1.9784349673759017e-06 #atdhisto_c12
NR   CZ   1.4558184529108867e-06 0.0                    1.9784349673759017e-06 #atdhisto_c12
NR   CH   1.4558184529108867e-06 8.855373008130008e-06  1.9784349673759017e-06 #atdhisto_c12
NR   CH1  7.030422589392208e-06  0.0                    9.937230804903689e-06  #atdhisto_c12
NR   CH1t 2.6644993987597274e-06 0.0                    9.937230804903689e-06  #atdhisto_c12
NR   CAH  6.503393009784176e-06  2.4604350727657302e-05 9.937230804903689e-06  #atdhisto_c12
NR   CH2  2.448580108078591e-06  0.0                    4.822399140917269e-06  #atdhisto_c12
NR   CAH2 1.8933619871479337e-06 0.0                    4.822399140917269e-06  #atdhisto_c12
NR   CH3  2.064082678151929e-06  0.0                    3.598269831239962e-06  #atdhisto_c12
